action,subject,trial,frame,skeleton_joint,x,y,z
11.0, 1, 1, 0, 1,1.096763, 0.8209581, 2.917121
11.0, 1, 1, 0, 2,1.143159, 0.6556807, 2.895501
11.0, 1, 1, 0, 3,1.074433, 0.2619476, 2.862856
11.0, 1, 1, 0, 4,1.041017, 0.524561, 3.043761
11.0, 1, 1, 0, 5,1.181417, 0.5162245, 2.763316
11.0, 1, 1, 0, 6,0.9563124, -0.008806311, 3.003107
11.0, 1, 1, 0, 7,1.111119, -0.003836125, 2.586765
11.0, 1, 1, 0, 8,1.060688, 0.183201, 2.859934
11.0, 1, 1, 0, 9,1.018098, 0.1220594, 2.90922
11.0, 1, 1, 0, 10,1.081278, 0.118308, 2.797225
11.0, 1, 1, 0, 11,1.065744, -0.3557675, 2.971947
11.0, 1, 1, 0, 12,1.153419, -0.3311121, 2.679892
11.0, 1, 1, 0, 13,1.069174, -0.7249758, 2.992254
11.0, 1, 1, 0, 14,1.181985, -0.7044335, 2.594906
11.0, 1, 1, 0, 15,1.011886, -0.7889896, 2.972503
11.0, 1, 1, 0, 16,1.143378, -0.7752385, 2.559583
11.0, 1, 1, 1, 1,1.096096, 0.8215286, 2.918926
11.0, 1, 1, 1, 2,1.143252, 0.6563017, 2.895425
11.0, 1, 1, 1, 3,1.074443, 0.2619298, 2.862957
11.0, 1, 1, 1, 4,1.042324, 0.5261425, 3.043898
11.0, 1, 1, 1, 5,1.181409, 0.5162889, 2.763473
11.0, 1, 1, 1, 6,0.9565931, -0.008896112, 3.00331
11.0, 1, 1, 1, 7,1.111392, -0.003674382, 2.58684
11.0, 1, 1, 1, 8,1.060703, 0.1831152, 2.860035
11.0, 1, 1, 1, 9,1.018192, 0.1220721, 2.90932
11.0, 1, 1, 1, 10,1.081231, 0.1181737, 2.797355
11.0, 1, 1, 1, 11,1.066146, -0.3584393, 2.973244
11.0, 1, 1, 1, 12,1.153592, -0.3315891, 2.680069
11.0, 1, 1, 1, 13,1.068636, -0.7262141, 2.992318
11.0, 1, 1, 1, 14,1.182308, -0.7044851, 2.595441
11.0, 1, 1, 1, 15,1.01035, -0.7903491, 2.971732
11.0, 1, 1, 1, 16,1.143638, -0.7753958, 2.561156
11.0, 1, 1, 2, 1,1.09542, 0.8229032, 2.923383
11.0, 1, 1, 2, 2,1.143231, 0.6565461, 2.895679
11.0, 1, 1, 2, 3,1.07437, 0.2617816, 2.863149
11.0, 1, 1, 2, 4,1.043252, 0.5276951, 3.043893
11.0, 1, 1, 2, 5,1.180728, 0.5164533, 2.763943
11.0, 1, 1, 2, 6,0.9551725, -0.01581924, 3.001858
11.0, 1, 1, 2, 7,1.11145, -0.003515422, 2.586828
11.0, 1, 1, 2, 8,1.060587, 0.1828175, 2.860255
11.0, 1, 1, 2, 9,1.018239, 0.1220623, 2.909471
11.0, 1, 1, 2, 10,1.080814, 0.1177299, 2.797689
11.0, 1, 1, 2, 11,1.066186, -0.3594519, 2.973783
11.0, 1, 1, 2, 12,1.153615, -0.331525, 2.68004
11.0, 1, 1, 2, 13,1.0675, -0.7261142, 2.991364
11.0, 1, 1, 2, 14,1.182388, -0.7043992, 2.595551
11.0, 1, 1, 2, 15,1.010665, -0.7919574, 2.970027
11.0, 1, 1, 2, 16,1.143648, -0.7750485, 2.560836
11.0, 1, 1, 3, 1,1.094147, 0.8234047, 2.92486
11.0, 1, 1, 3, 2,1.143068, 0.6567087, 2.895443
11.0, 1, 1, 3, 3,1.074739, 0.2650396, 2.862621
11.0, 1, 1, 3, 4,1.043206, 0.5261418, 3.042117
11.0, 1, 1, 3, 5,1.179768, 0.5164467, 2.763634
11.0, 1, 1, 3, 6,0.9551806, -0.01570877, 3.001263
11.0, 1, 1, 3, 7,1.111524, -0.003699519, 2.586643
11.0, 1, 1, 3, 8,1.061224, 0.1873044, 2.859513
11.0, 1, 1, 3, 9,1.019564, 0.1263691, 2.908631
11.0, 1, 1, 3, 10,1.081064, 0.1235956, 2.79663
11.0, 1, 1, 3, 11,1.066188, -0.3598102, 2.973429
11.0, 1, 1, 3, 12,1.153651, -0.3315345, 2.679441
11.0, 1, 1, 3, 13,1.067829, -0.726454, 2.992677
11.0, 1, 1, 3, 14,1.183009, -0.7043238, 2.595688
11.0, 1, 1, 3, 15,1.011767, -0.792241, 2.970607
11.0, 1, 1, 3, 16,1.143834, -0.7749279, 2.560513
11.0, 1, 1, 4, 1,1.093854, 0.8234581, 2.92514
11.0, 1, 1, 4, 2,1.14276, 0.6567926, 2.895269
11.0, 1, 1, 4, 3,1.074625, 0.2647757, 2.862609
11.0, 1, 1, 4, 4,1.044089, 0.5264947, 3.039516
11.0, 1, 1, 4, 5,1.179668, 0.5164717, 2.763754
11.0, 1, 1, 4, 6,0.9552194, -0.01558108, 3.001265
11.0, 1, 1, 4, 7,1.111868, -0.003881647, 2.586976
11.0, 1, 1, 4, 8,1.061101, 0.1868203, 2.859514
11.0, 1, 1, 4, 9,1.019609, 0.1260302, 2.908743
11.0, 1, 1, 4, 10,1.080779, 0.1227876, 2.796572
11.0, 1, 1, 4, 11,1.06644, -0.3602224, 2.973955
11.0, 1, 1, 4, 12,1.15354, -0.331994, 2.679175
11.0, 1, 1, 4, 13,1.068146, -0.7275783, 2.992947
11.0, 1, 1, 4, 14,1.184234, -0.7052161, 2.597178
11.0, 1, 1, 4, 15,1.010521, -0.7930087, 2.970631
11.0, 1, 1, 4, 16,1.144334, -0.7750568, 2.561977
11.0, 1, 1, 5, 1,1.093802, 0.823411, 2.925407
11.0, 1, 1, 5, 2,1.142682, 0.6573125, 2.89519
11.0, 1, 1, 5, 3,1.074447, 0.2644884, 2.862671
11.0, 1, 1, 5, 4,1.044769, 0.5279718, 3.03902
11.0, 1, 1, 5, 5,1.178876, 0.5170157, 2.764348
11.0, 1, 1, 5, 6,0.9552135, -0.0154394, 3.001208
11.0, 1, 1, 5, 7,1.112206, -0.003749702, 2.587015
11.0, 1, 1, 5, 8,1.060788, 0.1861295, 2.859607
11.0, 1, 1, 5, 9,1.019593, 0.1258094, 2.908882
11.0, 1, 1, 5, 10,1.080076, 0.1217652, 2.796754
11.0, 1, 1, 5, 11,1.066496, -0.3608125, 2.974328
11.0, 1, 1, 5, 12,1.153462, -0.3319469, 2.679012
11.0, 1, 1, 5, 13,1.067817, -0.7274076, 2.992807
11.0, 1, 1, 5, 14,1.184034, -0.7063117, 2.597321
11.0, 1, 1, 5, 15,1.010792, -0.7937712, 2.970326
11.0, 1, 1, 5, 16,1.144289, -0.7751774, 2.562059
11.0, 1, 1, 6, 1,1.092631, 0.8229964, 2.925119
11.0, 1, 1, 6, 2,1.142514, 0.6577605, 2.895633
11.0, 1, 1, 6, 3,1.074356, 0.2644062, 2.862706
11.0, 1, 1, 6, 4,1.045063, 0.5284706, 3.036772
11.0, 1, 1, 6, 5,1.178453, 0.5170733, 2.764222
11.0, 1, 1, 6, 6,0.9553853, -0.01564568, 3.000098
11.0, 1, 1, 6, 7,1.112222, -0.003731063, 2.587047
11.0, 1, 1, 6, 8,1.060651, 0.185904, 2.859568
11.0, 1, 1, 6, 9,1.019566, 0.1255876, 2.908954
11.0, 1, 1, 6, 10,1.079627, 0.1210492, 2.796233
11.0, 1, 1, 6, 11,1.066979, -0.3616157, 2.975062
11.0, 1, 1, 6, 12,1.153292, -0.3323154, 2.678438
11.0, 1, 1, 6, 13,1.067815, -0.727361, 2.992843
11.0, 1, 1, 6, 14,1.183576, -0.7055509, 2.597028
11.0, 1, 1, 6, 15,1.011321, -0.7934782, 2.970159
11.0, 1, 1, 6, 16,1.144475, -0.7752099, 2.562721
11.0, 1, 1, 7, 1,1.091724, 0.8229806, 2.925603
11.0, 1, 1, 7, 2,1.142207, 0.6582537, 2.895458
11.0, 1, 1, 7, 3,1.074281, 0.2657402, 2.862346
11.0, 1, 1, 7, 4,1.04597, 0.530406, 3.037982
11.0, 1, 1, 7, 5,1.177944, 0.5174008, 2.764194
11.0, 1, 1, 7, 6,0.9564282, -0.01518943, 3.000913
11.0, 1, 1, 7, 7,1.112685, -0.003556988, 2.587453
11.0, 1, 1, 7, 8,1.060668, 0.1874181, 2.859179
11.0, 1, 1, 7, 9,1.020134, 0.127895, 2.908633
11.0, 1, 1, 7, 10,1.079426, 0.1221974, 2.795812
11.0, 1, 1, 7, 11,1.067061, -0.3616701, 2.975156
11.0, 1, 1, 7, 12,1.153301, -0.332158, 2.677978
11.0, 1, 1, 7, 13,1.067665, -0.7273429, 2.992577
11.0, 1, 1, 7, 14,1.183923, -0.7057701, 2.597252
11.0, 1, 1, 7, 15,1.016852, -0.7912931, 2.953277
11.0, 1, 1, 7, 16,1.144352, -0.7750853, 2.562427
11.0, 1, 1, 8, 1,1.091574, 0.822901, 2.925355
11.0, 1, 1, 8, 2,1.14183, 0.658145, 2.894808
11.0, 1, 1, 8, 3,1.074331, 0.2665576, 2.861959
11.0, 1, 1, 8, 4,1.046111, 0.5308099, 3.037745
11.0, 1, 1, 8, 5,1.176969, 0.5173511, 2.763801
11.0, 1, 1, 8, 6,0.9588661, -0.01459373, 3.003647
11.0, 1, 1, 8, 7,1.1128, -0.003442602, 2.587485
11.0, 1, 1, 8, 8,1.060844, 0.1885782, 2.858847
11.0, 1, 1, 8, 9,1.020936, 0.1300705, 2.908169
11.0, 1, 1, 8, 10,1.079432, 0.123421, 2.79574
11.0, 1, 1, 8, 11,1.067044, -0.3616266, 2.974982
11.0, 1, 1, 8, 12,1.153069, -0.3320781, 2.677441
11.0, 1, 1, 8, 13,1.066634, -0.7253968, 2.992128
11.0, 1, 1, 8, 14,1.183923, -0.7059858, 2.597113
11.0, 1, 1, 8, 15,1.017174, -0.7949361, 2.963083
11.0, 1, 1, 8, 16,1.144359, -0.7750622, 2.562316
11.0, 1, 1, 9, 1,1.090738, 0.8232177, 2.925917
11.0, 1, 1, 9, 2,1.141312, 0.6584189, 2.8943
11.0, 1, 1, 9, 3,1.073999, 0.2663775, 2.862167
11.0, 1, 1, 9, 4,1.046122, 0.5309223, 3.037905
11.0, 1, 1, 9, 5,1.176722, 0.5174708, 2.763781
11.0, 1, 1, 9, 6,0.9599178, -0.0145737, 3.005229
11.0, 1, 1, 9, 7,1.113011, -0.003352818, 2.587348
11.0, 1, 1, 9, 8,1.060435, 0.1882224, 2.85924
11.0, 1, 1, 9, 9,1.020153, 0.1269579, 2.909192
11.0, 1, 1, 9, 10,1.07882, 0.1239807, 2.796428
11.0, 1, 1, 9, 11,1.067493, -0.3621871, 2.97554
11.0, 1, 1, 9, 12,1.152678, -0.3311926, 2.677277
11.0, 1, 1, 9, 13,1.066301, -0.725997, 2.991569
11.0, 1, 1, 9, 14,1.183622, -0.7055472, 2.596994
11.0, 1, 1, 9, 15,1.014267, -0.7964098, 2.965837
11.0, 1, 1, 9, 16,1.144262, -0.7749001, 2.56232
11.0, 1, 1, 10, 1,1.09152, 0.8238643, 2.931088
11.0, 1, 1, 10, 2,1.141707, 0.6588898, 2.895659
11.0, 1, 1, 10, 3,1.07386, 0.2662779, 2.862525
11.0, 1, 1, 10, 4,1.046881, 0.5317863, 3.039152
11.0, 1, 1, 10, 5,1.176921, 0.5176103, 2.763699
11.0, 1, 1, 10, 6,0.9602645, -0.01465784, 3.00569
11.0, 1, 1, 10, 7,1.113031, -0.003369666, 2.587333
11.0, 1, 1, 10, 8,1.060228, 0.1880266, 2.859555
11.0, 1, 1, 10, 9,1.01983, 0.1258636, 2.909275
11.0, 1, 1, 10, 10,1.078392, 0.124817, 2.79716
11.0, 1, 1, 10, 11,1.067604, -0.3626813, 2.975635
11.0, 1, 1, 10, 12,1.152741, -0.3309349, 2.677184
11.0, 1, 1, 10, 13,1.066292, -0.7260008, 2.991529
11.0, 1, 1, 10, 14,1.183471, -0.7013944, 2.597663
11.0, 1, 1, 10, 15,1.013256, -0.7949954, 2.967111
11.0, 1, 1, 10, 16,1.143307, -0.7737195, 2.561744
11.0, 1, 1, 11, 1,1.091436, 0.8238825, 2.93153
11.0, 1, 1, 11, 2,1.141642, 0.6589946, 2.895513
11.0, 1, 1, 11, 3,1.073771, 0.2663096, 2.862626
11.0, 1, 1, 11, 4,1.047085, 0.5316373, 3.039118
11.0, 1, 1, 11, 5,1.176532, 0.5175996, 2.763541
11.0, 1, 1, 11, 6,0.9613913, -0.01165976, 3.007958
11.0, 1, 1, 11, 7,1.113259, -0.003196806, 2.587388
