action,subject,trial,frame,skeleton_joint,x,y,z
1.0, 8, 4, 0, 1,0.5883231, 0.7851803, 3.025655
1.0, 8, 4, 0, 2,0.6258718, 0.6015469, 2.979521
1.0, 8, 4, 0, 3,0.5722983, 0.234518, 2.924992
1.0, 8, 4, 0, 4,0.467401, 0.4494764, 3.051523
1.0, 8, 4, 0, 5,0.6950264, 0.4628636, 2.83569
1.0, 8, 4, 0, 6,0.3923451, -0.1658435, 2.977806
1.0, 8, 4, 0, 7,0.6895848, -0.1354263, 2.660362
1.0, 8, 4, 0, 8,0.5615836, 0.1611122, 2.917567
1.0, 8, 4, 0, 9,0.4995647, 0.08408751, 2.960677
1.0, 8, 4, 0, 10,0.6019961, 0.09011178, 2.848848
1.0, 8, 4, 0, 11,0.5410877, -0.3966872, 2.985577
1.0, 8, 4, 0, 12,0.6978458, -0.376862, 2.797734
1.0, 8, 4, 0, 13,0.5651574, -0.7419693, 3.028206
1.0, 8, 4, 0, 14,0.7609953, -0.7532648, 2.766394
1.0, 8, 4, 0, 15,0.5255161, -0.8276592, 3.019596
1.0, 8, 4, 0, 16,0.7009944, -0.7886945, 2.703128
1.0, 8, 4, 1, 1,0.5878564, 0.7852259, 3.024109
1.0, 8, 4, 1, 2,0.6259552, 0.6019961, 2.980134
1.0, 8, 4, 1, 3,0.5724928, 0.2333771, 2.925337
1.0, 8, 4, 1, 4,0.4672671, 0.4496539, 3.05212
1.0, 8, 4, 1, 5,0.6946605, 0.4630837, 2.836476
1.0, 8, 4, 1, 6,0.3918382, -0.1650072, 2.975121
1.0, 8, 4, 1, 7,0.6898512, -0.1353828, 2.661041
1.0, 8, 4, 1, 8,0.5618527, 0.159134, 2.917756
1.0, 8, 4, 1, 9,0.5000077, 0.08223141, 2.960856
1.0, 8, 4, 1, 10,0.6022625, 0.08825819, 2.849106
1.0, 8, 4, 1, 11,0.5410057, -0.3965079, 2.986376
1.0, 8, 4, 1, 12,0.6982859, -0.3777954, 2.798822
1.0, 8, 4, 1, 13,0.5658557, -0.7420026, 3.028817
1.0, 8, 4, 1, 14,0.7609465, -0.7533594, 2.767061
1.0, 8, 4, 1, 15,0.5255167, -0.8276628, 3.019994
1.0, 8, 4, 1, 16,0.7365508, -0.8417858, 2.753117
1.0, 8, 4, 2, 1,0.5861637, 0.7818584, 3.022254
1.0, 8, 4, 2, 2,0.6258782, 0.6026554, 2.979955
1.0, 8, 4, 2, 3,0.5726364, 0.2328938, 2.925075
1.0, 8, 4, 2, 4,0.4669848, 0.4498051, 3.052525
1.0, 8, 4, 2, 5,0.6943326, 0.4640171, 2.837198
1.0, 8, 4, 2, 6,0.3918975, -0.1649012, 2.975132
1.0, 8, 4, 2, 7,0.6901149, -0.1354555, 2.661013
1.0, 8, 4, 2, 8,0.5620733, 0.1583466, 2.917406
1.0, 8, 4, 2, 9,0.5003532, 0.08132137, 2.960158
1.0, 8, 4, 2, 10,0.6025077, 0.08791871, 2.849124
1.0, 8, 4, 2, 11,0.5409048, -0.3966283, 2.986401
1.0, 8, 4, 2, 12,0.6982077, -0.3781931, 2.798875
1.0, 8, 4, 2, 13,0.5660887, -0.7432609, 3.029156
1.0, 8, 4, 2, 14,0.7609454, -0.7525181, 2.767476
1.0, 8, 4, 2, 15,0.5263311, -0.8281063, 3.017137
1.0, 8, 4, 2, 16,0.7365676, -0.8417545, 2.753143
1.0, 8, 4, 3, 1,0.5868121, 0.7895693, 3.022455
1.0, 8, 4, 3, 2,0.6260774, 0.6034627, 2.979368
1.0, 8, 4, 3, 3,0.572484, 0.2335587, 2.92479
1.0, 8, 4, 3, 4,0.4665084, 0.4511093, 3.052124
1.0, 8, 4, 3, 5,0.6943265, 0.4640388, 2.837083
1.0, 8, 4, 3, 6,0.3914437, -0.1649672, 2.974347
1.0, 8, 4, 3, 7,0.690907, -0.1358037, 2.661363
1.0, 8, 4, 3, 8,0.5618159, 0.1591654, 2.917202
1.0, 8, 4, 3, 9,0.4997673, 0.08322793, 2.959653
1.0, 8, 4, 3, 10,0.6022695, 0.08884458, 2.849493
1.0, 8, 4, 3, 11,0.5410205, -0.3973593, 2.986686
1.0, 8, 4, 3, 12,0.6982249, -0.3782435, 2.798645
1.0, 8, 4, 3, 13,0.5662026, -0.7464437, 3.029674
1.0, 8, 4, 3, 14,0.761192, -0.7522438, 2.767398
1.0, 8, 4, 3, 15,0.526044, -0.8299667, 3.01701
1.0, 8, 4, 3, 16,0.7364765, -0.8417488, 2.752706
